Name (Data is for Jun 12th 2020),ZIP,County,Confirmed Deaths,Presumed Deaths
"NY CONGREGATIONAL NURSING CENTER, INC",11226,Kings,4,32
OXFORD NURSING HOME,11217,Kings,5,5
PALM GARDENS CENTER FOR NURSING AND REHABILITATION,11218,Kings,3,1
"RUTLAND NURSING HOME, INC.",11203,Kings,16,33
SAINTS JOACHIM & ANNE NURSING AND REHABILITATION CENTER,11224,Kings,0,27
SCHULMAN AND SCHACHNE INSTITUTE FOR NURSING AND,11212,Kings,26,18
SEA CREST NURSING AND REHABILITATION CENTER,11224,Kings,10,7
SEAGATE REHABILITATION AND NURSING CENTER,11224,Kings,5,23
SHEEPSHEAD NURSING & REHABILITATION CENTER,11235,Kings,6,4
SHORE VIEW NURSING & REHABILITATION CENTER,11235,Kings,24,2
SPRING CREEK REHABILITATION & NURSING CARE CENTER,11239,Kings,2,11
THE CHATEAU AT BROOKLYN REHABILITATION AND NURSING,11229,Kings,3,5
THE HERITAGE REHABILITATION AND HEALTH CARE CENTER,11219,Kings,0,1
THE PHOENIX REHABILITATION AND NURSING CENTER,11201,Kings,24,37
AMSTERDAM NURSING HOME CORP (1992),10025,New York,13,45
COLER REHABILITATION AND NURSING CARE CENTER,10044,New York,13,1
FORT TRYON CENTER FOR REHABILITATION AND NURSING,10040,New York,13,4
HARLEM CENTER FOR NURSING AND REHABILITATION,10037,New York,3,29
ISABELLA GERIATRIC CENTER INC,10040,New York,24,44
MARY MANNING WALSH NURSING HOME CO INC,10021,New York,34,4
NEW EAST SIDE NURSING HOME,10002,New York,2,1
NEW GOUVERNEUR HOSPITAL SNF,10002,New York,19,3
NORTHERN MANHATTAN REHABILITATION AND NURSING CENTER,10035,New York,12,12
TERENCE CARDINAL COOKE HEALTH CARE CENTER,10029,New York,25,9
"THE NEW JEWISH HOME, MANHATTAN",10025,New York,46,12
THE RIVERSIDE,10024,New York,44,17
UPPER EAST SIDE REHABILITATION AND NURSING CENTER,10075,New York,7,3
VILLAGECARE REHABILITATION AND NURSING CENTER,10014,New York,2,0
BEACH GARDENS REHAB AND NURSING CENTER,11691,Queens,3,5
BEACON REHABILITATION AND NURSING CENTER,11694,Queens,5,7
BEZALEL REHABILITATION AND NURSING CENTER,11691,Queens,8,1
BRIDGE VIEW NURSING HOME,11357,Queens,9,12
BROOKHAVEN REHABILITATION & HEALTH CARE CENTER LLC,11691,Queens,1,6
CARING FAMILY NURSING AND REHABILITATION CENTER,11691,Queens,5,13
CHAPIN HOME FOR THE AGING,11432,Queens,1,2
CLIFFSIDE REHABILITATION & RESIDENTIAL HEALTH CARE,11354,Queens,18,0
CYPRESS GARDEN CENTER FOR NURSING AND REHABILITATION,11354,Queens,5,5
DRY HARBOR NURSING HOME,11379,Queens,13,20
"ELMHURST CARE CENTER, INC",11369,Queens,10,14
FAIRVIEW NURSING CARE CENTER INC,11375,Queens,8,6
FAR ROCKAWAY CENTER FOR REHABILITATION AND NURSING,11691,Queens,2,0
FOREST HILLS CARE CENTER,11375,Queens,7,5
FOREST VIEW CENTER FOR REHABILITATION & NURSING,11375,Queens,4,1
FRANKLIN CENTER FOR REHABILITATION AND NURSING,11355,Queens,7,53
"HAVEN MANOR HEALTH CARE CENTER,LLC",11691,Queens,4,5
HIGHLAND CARE CENTER,11432,Queens,5,24
HILLSIDE MANOR REHAB & EXTENDED CARE CENTER,11432,Queens,24,11
HOLLIS PARK MANOR NURSING HOME,11423,Queens,1,7
HOLLISWOOD CENTER FOR REHABILITATION AND HEALTHCARE,11423,Queens,18,40
HORIZON CARE CENTER,11692,Queens,5,6
JAMAICA HOSPITAL NURSING HOME CO INC,11418,Queens,3,0
"LAWRENCE NURSING CARE CENTER, INC",11692,Queens,4,1
LONG ISLAND CARE CENTER INC,11354,Queens,19,4
MARGARET TIETZ NURSING AND REHABILITATION CENTER,11432,Queens,10,1
MEADOW PARK REHABILITATION AND HEALTH CARE CENTER LLC,11366,Queens,1,0
MIDWAY NURSING HOME,11378,Queens,2,17
"NEW GLEN OAKS NURSING HOME, INC",11004,Queens,5,5
NEW YORK CENTER FOR REHABILITATION & NURSING,11102,Queens,1,26
NYS VETERANS HOME IN NYC,11434,Queens,11,24
"OCEANVIEW NURSING & REHABILITATION CENTER, LLC",11691,Queens,2,3
OZANAM HALL OF QUEENS NURSING HOME INC,11361,Queens,32,30
PARK NURSING HOME,11694,Queens,1,0
PARK TERRACE CARE CENTER,11368,Queens,0,3
PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,11040,Queens,82,0
PENINSULA NURSING AND REHABILITATION CENTER,11691,Queens,3,2
PROMENADE REHABILITATION AND HEALTH CARE CENTER,11694,Queens,3,12
QUEENS BOULEVARD EXTENDED CARE FACILITY,11377,Queens,4,3
QUEENS NASSAU REHABILITATION AND NURSING CENTER,11691,Queens,2,4
REGAL HEIGHTS REHABILITATION AND HEALTH CARE CENTER,11372,Queens,7,5
REGO PARK NURSING HOME,11368,Queens,20,1
RESORT NURSING HOME,11692,Queens,3,2
ROCKAWAY CARE CENTER,11691,Queens,2,1
SAPPHIRE CENTER FOR REHABILITATION AND NURSING OF,11354,Queens,4,51
SILVERCREST,11435,Queens,9,0
THE GRAND REHABILITATION AND NURSING AT QUEENS,11357,Queens,3,0
THE PAVILION AT QUEENS FOR REHABILITATION & NURSING,11354,Queens,4,11
UNION PLAZA CARE CENTER,11354,Queens,21,31
WATERVIEW NURSING CARE CENTER,11354,Queens,2,5
"WEST LAWRENCE CARE CENTER, LLC",11691,Queens,8,2
WINDSOR PARK NURSING HOME,11427,Queens,9,0
WOODCREST REHABILITATION & RESIDENTIAL HEALTH CARE,11354,Queens,5,0
CARMEL RICHMOND HEALTHCARE AND REHABILITATION CENTER,10304,Richmond,56,2
"CLOVE LAKES HEALTH CARE AND REHABILITATION CENTER, INC",10314,Richmond,15,25
EGER HEALTH CARE AND REHABILITATION CENTER,10306,Richmond,1,29
GOLDEN GATE REHABILITATION & HEALTH CARE CENTER,10314,Richmond,12,4
"NEW VANDERBILT REHABILITATION AND CARE CENTER, INC",10304,Richmond,3,23
RICHMOND CENTER FOR REHABILITATION AND SPECIALTY,10304,Richmond,0,11
"SEA VIEW HOSPITAL, REHABILITATION CENTER AND HOME",10314,Richmond,10,20
SILVER LAKE SPECIALIZED REHABILITATION AND CARE CENTER,10301,Richmond,1,36
STATEN ISLAND CARE CENTER,10301,Richmond,2,10
VERRAZANO NURSING HOME,10301,Richmond,6,13
